"No","Event ID","Date time","Latitude","Longitude","Magnitude","Mag Type","Depth (km)","Phase Count","Azimuth Gap","Location","Agency"
"56","bmg2023yndo","2023-12-15T17:25:44.850831Z","-0.3725436628","123.9315796","3.581170687","MLv","72","45","51.04205322","Minahassa Peninsula, Sulawesi","BMKG"
"57","bmg2023yndi","2023-12-15T17:18:20.70317Z","-0.09795646369","122.8448715","3.431120511","M","138","35","53.48783112","Minahassa Peninsula, Sulawesi","BMKG"
"58","bmg2023ynck","2023-12-15T16:50:23.124318Z","-6.750832081","106.5487595","2.952197675","MLv","10","34","70.23982239","Java, Indonesia","BMKG"
"59","bmg2023ynbx","2023-12-15T16:35:21.705196Z","8.225187302","127.2948685","4.739882635","mb","10","39","242.6380157","Philippine Islands Region","BMKG"
"60","bmg2023ynax","2023-12-15T16:05:34.319312Z","8.68478775","127.4696808","5.08526394","mb","19","48","246.8775787","Philippine Islands Region","BMKG"
"61","bmg2023ynac","2023-12-15T15:40:30.095462Z","8.632790565","127.3884201","4.852139595","mb","37","39","157.7207794","Philippine Islands Region","BMKG"
"62","bmg2023ymxp","2023-12-15T14:24:34.587044Z","-7.14252758","108.8585663","4.555270622","MLv","10","88","50.29269409","Java, Indonesia","BMKG"
"63","bmg2023ymwe","2023-12-15T13:42:07.987116Z","4.264585972","126.8566818","3.715059507","MLv","10","8","216.5742035","Talaud Islands, Indonesia","BMKG"
"64","bmg2023ymou","2023-12-15T09:57:43.356471Z","-8.784241676","119.7188721","2.997821555","MLv","10","38","62.17075729","Flores Region, Indonesia","BMKG"
"65","bmg2023ymmq","2023-12-15T08:52:41.219801Z","-2.874901295","101.585083","3.593171068","M","14","28","126.159729","Southern Sumatra, Indonesia","BMKG"
"66","bmg2023ymkn","2023-12-15T07:48:19.769807Z","-0.4179098308","100.3463593","2.603325879","MLv","10","17","122.4501038","Southern Sumatra, Indonesia","BMKG"
"67","bmg2023ymkd","2023-12-15T07:37:02.874407Z","-8.716731071","123.9154663","3.337385091","MLv","81","35","54.80321503","Flores Region, Indonesia","BMKG"
"68","bmg2023ymjg","2023-12-15T07:10:24.807229Z","-7.201405525","107.7219238","1.921144043","MLv","10","7","208.1858215","Java, Indonesia","BMKG"
"69","bmg2023ymis","2023-12-15T06:54:05.024734Z","-2.940143108","119.3950958","2.094859855","MLv","20","14","158.5433273","Sulawesi, Indonesia","BMKG"
"70","bmg2023ymih","2023-12-15T06:41:06.366014Z","0.5377286077","126.760849","2.842128711","M","12","20","119.1399536","Northern Molucca Sea","BMKG"
"71","bmg2023ymif","2023-12-15T06:38:36.80805Z","-0.2388374209","122.871727","2.530173295","MLv","76","21","92.81063461","Minahassa Peninsula, Sulawesi","BMKG"
"72","bmg2023ymic","2023-12-15T06:34:31.736607Z","-0.6318722367","100.0912399","2.301771919","M","76","20","205.5521545","Southern Sumatra, Indonesia","BMKG"
"73","bmg2023ymhp","2023-12-15T06:19:42.728639Z","-7.845900059","119.0247345","2.781477263","M","22","26","117.1777925","Flores Sea","BMKG"
"74","bmg2023ymgi","2023-12-15T05:41:23.169133Z","-9.461198807","115.4228745","2.886307194","MLv","26","36","225.6860504","South of Bali, Indonesia","BMKG"
"75","bmg2023ymfg","2023-12-15T05:09:03.278386Z","0.7513873577","126.6748962","2.975089034","MLv","13","22","76.95685577","Northern Molucca Sea","BMKG"
"76","bmg2023ymej","2023-12-15T04:41:23.244691Z","1.633209109","126.6035004","4.211193564","MLv","14","50","69.80713737","Northern Molucca Sea","BMKG"
"77","bmg2023ymdz","2023-12-15T04:30:40.132171Z","8.68410778","127.4378967","4.492546491","mb","71","44","250.2458038","Philippine Islands Region","BMKG"
"78","bmg2023ylvd","2023-12-15T00:02:09.264343Z","-6.945870876","129.709259","5.063400804","Mw(mB)","180","120","63.7180481","Banda Sea","BMKG"
"79","bmg2023ylso","2023-12-14T22:44:18.720711Z","7.756092548","127.065506","4.922556476","mb","14","24","250.8908081","Philippine Islands Region","BMKG"
"80","bmg2023yloo","2023-12-14T20:43:09.982269Z","-4.374674797","101.9994354","3.704445321","MLv","15","38","186.5827484","Southern Sumatra, Indonesia","BMKG"
"81","bmg2023yliv","2023-12-14T17:49:05.864881Z","-6.812389374","130.5648041","4.928230193","Mw(mB)","152","159","58.03572083","Banda Sea","BMKG"
"82","bmg2023ylhu","2023-12-14T17:17:26.976578Z","-7.306088448","109.9068375","2.298954298","MLv","10","23","77.71366882","Java, Indonesia","BMKG"
"83","bmg2023ylhr","2023-12-14T17:14:30.57268Z","2.077578783","96.82484436","3.546104747","MLv","13","35","152.1289062","Northern Sumatra, Indonesia","BMKG"
"84","bmg2023ylfd","2023-12-14T15:57:32.672517Z","1.164035916","128.2397308","3.245780662","MLv","16","20","119.4076765","Halmahera, Indonesia","BMKG"
"85","bmg2023ylej","2023-12-14T15:33:46.882656Z","7.43129158","127.2814484","4.462807444","M","85","25","244.3818054","Philippine Islands Region","BMKG"
"86","bmg2023ylaf","2023-12-14T13:27:28.54811Z","8.354577065","126.7231827","5.103347626","MLv","65","48","234.038269","Mindanao, Philippines","BMKG"
"87","bmg2023ykza","2023-12-14T12:51:27.579156Z","-5.329194069","130.2746735","4.119609669","MLv","68","29","141.3199005","Banda Sea","BMKG"
"88","bmg2023ykxd","2023-12-14T11:54:05.23526Z","7.685318947","126.9032593","4.712760027","mb","10","30","241.7488403","Mindanao, Philippines","BMKG"
"89","bmg2023ykww","2023-12-14T11:46:04.863712Z","7.75945425","126.9580307","4.847820463","mb","10","32","241.4901733","Mindanao, Philippines","BMKG"
"90","bmg2023ykvq","2023-12-14T11:08:31.614733Z","-6.738468647","106.5547333","3.150793431","M","10","47","67.43687439","Java, Indonesia","BMKG"
"91","bmg2023ykuu","2023-12-14T10:43:02.814627Z","7.521054268","126.8000107","4.671638827","mb","29","35","227.2510529","Mindanao, Philippines","BMKG"
"92","bmg2023yksa","2023-12-14T09:19:11.193085Z","1.812399507","127.4050217","4.073275061","MLv","94","35","84.81565094","Halmahera, Indonesia","BMKG"
"93","bmg2023ykoi","2023-12-14T07:27:17.715533Z","-7.274902821","106.0411835","4.961622036","mb","52","202","181.9400864","Java, Indonesia","BMKG"
"94","bmg2023ykln","2023-12-14T06:02:26.393945Z","-8.196473122","118.8824387","3.328483961","M","14","31","105.2931957","Sumbawa Region, Indonesia","BMKG"
"95","bmg2023yklc","2023-12-14T05:49:47.360396Z","-9.581219673","120.0962448","2.760959754","MLv","30","19","71.0909729","Sumba Region, Indonesia","BMKG"
"96","bmg2023ykki","2023-12-14T05:26:41.816584Z","8.709598541","127.4659119","5.061282592","mb","10","15","285.9083862","Philippine Islands Region","BMKG"
"97","bmg2023ykkd","2023-12-14T05:20:41.45484Z","0.05095722899","123.3823013","3.157665717","M","129","13","212.6172028","Minahassa Peninsula, Sulawesi","BMKG"
"98","bmg2023ykjn","2023-12-14T05:02:09.806035Z","-6.742481232","106.5537338","2.439116309","MLv","5","15","70.30062866","Java, Indonesia","BMKG"
"99","bmg2023ykjl","2023-12-14T04:59:21.630667Z","-7.125757217","108.8598022","2.933071894","MLv","5","31","107.1198807","Java, Indonesia","BMKG"
"100","bmg2023ykiu","2023-12-14T04:39:30.373852Z","-8.243354797","110.4817734","3.493093116","M","110","42","195.0036392","Java, Indonesia","BMKG"
"101","bmg2023ykia","2023-12-14T04:16:11.980515Z","-6.749331951","106.5460052","2.377284548","MLv","5","12","91.55184937","Java, Indonesia","BMKG"
"102","bmg2023ykhx","2023-12-14T04:13:23.993793Z","-2.730241299","120.9640808","1.303749706","MLv","5","7","242.8166809","Sulawesi, Indonesia","BMKG"
"103","bmg2023ykgs","2023-12-14T03:36:40.112603Z","8.112037659","127.2569427","4.854555312","mb","10","24","274.3279419","Philippine Islands Region","BMKG"
"104","bmg2023ykgi","2023-12-14T03:24:57.076016Z","-9.820418358","119.2648315","2.692910648","MLv","25","13","215.3576126","Sumba Region, Indonesia","BMKG"
"105","bmg2023ykfh","2023-12-14T02:54:05.612981Z","-6.774678707","106.5183868","2.402970627","MLv","5","13","113.7194519","Java, Indonesia","BMKG"
"106","bmg2023ykey","2023-12-14T02:42:45.904954Z","-6.747498512","106.518837","2.283464","MLv","5","10","130.9029846","Java, Indonesia","BMKG"
"107","bmg2023ykef","2023-12-14T02:20:59.492813Z","-2.595337868","129.5068817","3.239002356","MLv","5","17","122.2511444","Seram, Indonesia","BMKG"
"108","bmg2023ykdw","2023-12-14T02:10:06.675298Z","-6.78415823","106.5340576","2.115254662","MLv","5","13","87.79656982","Java, Indonesia","BMKG"
"109","bmg2023ykdi","2023-12-14T01:54:01.060403Z","-6.750040531","106.5449905","2.696500704","M","5","20","153.6839371","Java, Indonesia","BMKG"
"110","bmg2023ykdf","2023-12-14T01:50:08.241232Z","-2.479844093","134.2842102","3.539126104","MLv","5","14","168.6605072","West Papua Region, Indonesia","BMKG"
"111","bmg2023ykbt","2023-12-14T01:05:51.466042Z","0.03736456111","124.1046982","5.336980966","mb","108","235","33.53485107","Minahassa Peninsula, Sulawesi","BMKG"
"112","bmg2023yjzh","2023-12-13T23:51:15.862155Z","-6.728896141","106.5551147","2.376343348","MLv","5","24","130.4438019","Java, Indonesia","BMKG"
"113","bmg2023yjzf","2023-12-13T23:49:21.352286Z","-6.752033234","106.5450134","2.135531671","MLv","5","15","168.9942322","Java, Indonesia","BMKG"
"114","bmg2023yjyt","2023-12-13T23:35:12.31017Z","-6.75818634","106.5382538","4.692807476","MLv","5","128","72.23603821","Java, Indonesia","BMKG"
"115","bmg2023yjxi","2023-12-13T22:51:39.721272Z","-11.16867447","118.253006","4.478735676","MLv","5","89","206.6759949","South of Sumbawa, Indonesia","BMKG"
"116","bmg2023yjvr","2023-12-13T22:02:24.494385Z","-7.84525156","120.2185745","2.739905219","M","14","19","136.8701","Flores Sea","BMKG"
"117","bmg2023yjtz","2023-12-13T21:10:33.582894Z","-6.737380981","106.5566864","2.314775112","M","5","22","128.3507919","Java, Indonesia","BMKG"
"118","bmg2023yjtj","2023-12-13T20:52:01.881959Z","-9.341221809","118.2162628","3.354107345","MLv","36","40","173.6984177","Sumbawa Region, Indonesia","BMKG"
"119","bmg2023yjsi","2023-12-13T20:20:36.496852Z","-6.153252125","129.2838898","4.087011961","MLv","16","35","75.37789917","Banda Sea","BMKG"
"120","bmg2023yjsc","2023-12-13T20:13:20.021303Z","-2.726552486","121.6679535","3.033330065","M","5","35","75.13843155","Sulawesi, Indonesia","BMKG"
"121","bmg2023yjom","2023-12-13T18:24:23.64729Z","-8.744526863","116.1350861","3.380375226","M","92","61","148.6354523","Sumbawa Region, Indonesia","BMKG"
"122","bmg2023yjof","2023-12-13T18:16:03.912538Z","-8.168489456","119.9787827","2.231645694","MLv","184","22","201.4886017","Flores Region, Indonesia","BMKG"
"123","bmg2023yjnw","2023-12-13T18:05:44.599965Z","-8.327223778","118.841629","2.630174539","MLv","155","26","183.8925858","Sumbawa Region, Indonesia","BMKG"
"124","bmg2023yjmx","2023-12-13T17:36:52.483295Z","1.910050154","124.2196884","4.161841558","MLv","306","31","150.9516449","Minahassa Peninsula, Sulawesi","BMKG"
"125","bmg2023yjmi","2023-12-13T17:18:42.736385Z","-9.068588257","114.3000031","2.888928778","MLv","73","24","232.366478","South of Bali, Indonesia","BMKG"
"126","bmg2023yjlg","2023-12-13T16:46:00.647872Z","-0.7335970402","119.6164627","2.890591422","MLv","16","33","155.0150199","Minahassa Peninsula, Sulawesi","BMKG"
"127","bmg2023yjka","2023-12-13T16:08:58.64122Z","-5.807303905","110.3379593","4.248132653","MLv","563","85","67.35818481","Java Sea","BMKG"
"128","bmg2023yjjs","2023-12-13T15:59:49.509278Z","-8.310017586","116.8186111","3.41319569","MLv","252","40","125.5545883","Sumbawa Region, Indonesia","BMKG"
"129","bmg2023yjig","2023-12-13T15:15:24.367655Z","-7.95630455","110.4648972","3.527160192","MLv","5","47","88.48884583","Java, Indonesia","BMKG"
"130","bmg2023yjgu","2023-12-13T14:30:54.586642Z","-7.543832302","128.7666168","4.959097665","mb","169","156","45.84867859","Banda Sea","BMKG"
"131","bmg2023yjat","2023-12-13T11:27:52.770893Z","-6.39615345","130.4915619","4.311663236","MLv","164","30","72.44128418","Banda Sea","BMKG"
"132","bmg2023yjad","2023-12-13T11:08:55.228706Z","1.9753865","96.62742615","4.304731474","MLv","34","45","177.2823944","Off West Coast of Northern Sumatra","BMKG"
"133","bmg2023yiza","2023-12-13T10:35:55.122267Z","-8.090163231","107.9271317","4.324033227","MLv","27","81","208.3875122","Java, Indonesia","BMKG"
"134","bmg2023yiqk","2023-12-13T06:14:35.215981Z","0.08018066734","97.07113647","4.031034505","MLv","24","36","203.3321686","Northern Sumatra, Indonesia","BMKG"
"135","bmg2023yipx","2023-12-13T05:59:03.158162Z","-0.266179055","122.9026031","3.012292389","MLv","5","17","80.93424225","Minahassa Peninsula, Sulawesi","BMKG"
"136","bmg2023yinz","2023-12-13T05:00:49.755121Z","-8.187641144","119.9292679","2.849390493","MLv","190","30","196.2777405","Flores Region, Indonesia","BMKG"
"137","bmg2023yimj","2023-12-13T04:11:16.47216Z","-6.826213837","107.1053162","2.550127211","MLv","5","22","125.6908722","Java, Indonesia","BMKG"
"138","bmg2023yiig","2023-12-13T02:07:34.626657Z","-0.5748705864","119.4601517","3.123612945","M","11","32","146.7972107","Minahassa Peninsula, Sulawesi","BMKG"
"139","bmg2023yihl","2023-12-13T01:42:51.729737Z","-6.737939358","106.5426712","2.693975393","M","5","18","125.58815","Java, Indonesia","BMKG"
"140","bmg2023yify","2023-12-13T00:57:13.814106Z","-4.73734951","104.1901932","3.215286762","MLv","129","23","128.042038","Southern Sumatra, Indonesia","BMKG"
"141","bmg2023yicd","2023-12-12T23:01:58.645569Z","2.203640699","128.4755859","3.683382194","MLv","30","30","178.4338989","Halmahera, Indonesia","BMKG"
"142","bmg2023yibd","2023-12-12T22:31:51.874558Z","-6.933191299","105.4645844","3.712251502","MLv","18","55","204.119873","Sunda Strait, Indonesia","BMKG"
"143","bmg2023yiay","2023-12-12T22:25:48.457549Z","1.600765347","127.0640488","4.026717728","MLv","106","46","73.22198486","Halmahera, Indonesia","BMKG"
"144","bmg2023yhzn","2023-12-12T21:42:46.12404Z","8.970290184","126.6726227","4.930702733","mb","93","31","302.4097595","Mindanao, Philippines","BMKG"
"145","bmg2023yhye","2023-12-12T21:01:50.766559Z","-0.4879688025","100.2304382","3.066752103","MLv","10","39","34.03090286","Southern Sumatra, Indonesia","BMKG"
